Adoption_ID,Date,Quantity,Book_ID,ISBN10,ISBN13,Title,Category
12,6/23/2015,500,652,0132481197,9780132481199,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success
13,5/18/2015,368,639,0133378500,9780133378504,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
14,4/11/2015,308,911,0132994844,9780132994842,Economics,Economics
15,6/8/2015,521,957,0132992914,9780132992916,Principles of Risk Management and Insurance,Business
16,3/25/2015,72,792,0133485102,9780133485103,Managing Engineering and Technology,Engineering
17,11/19/2015,276,622,0321859227,9780321859228,"Prealgebra and Introductory Algebra, 4e",Mathematics
18,5/5/2015,250,698,0136157394,9780136157397,Global Marketing Management,Business
19,10/10/2015,51,549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
20,4/16/2015,481,598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
21,1/28/2016,123,790,013284737X,9780132847377,Data Structures and Algorithm Analysis in C++,Computer Science
22,2/23/2016,665,593,0321845021,9780321845023,Prealgebra  5e,Mathematics
23,10/19/2015,231,480,032183870X,9780321838704,Fundamentals of Statistics,Statistics
24,8/15/2015,650,611,0321860594,9780321860590,"Cornerstones for Community College Success, 2/E",Student Success
25,6/29/2015,189,969,013606552X,9780136065524,Economics for Managers,Economics
26,7/10/2015,180,612,0321826027,9780321826022,Precalculus with Modeling & Visualization,Mathematics
27,1/2/2016,506,598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
28,8/27/2015,265,490,0321836987,9780321836984,Essential Statistics,Statistics
29,10/15/2015,535,974,0132991284,9780132991285,The Economics of Macro Issues,Economics
30,2/22/2016,552,948,0133126242,9780133126242,"Integrated Advertising, Promotion, and Marketing Communications",Business
31,9/26/2015,602,473,0133068307,9780133068306,Introduction to JavaScript Programming with XML and PHP,Computer Science
32,10/10/2015,637,940,0132948869,9780132948869,Microeconomics,Economics
33,3/6/2016,471,910,0133020266,9780133020267,Managerial Economics,Economics
1,2/29/2016,462,942,0133075222,9780133075229,Employment Law,Business
2,7/7/2015,139,603,0321825276,9780321825278,Intro Stats,Statistics
3,7/29/2015,205,980,013610827X,9780136108276,Hands-On Database,Computer Science
4,12/26/2015,694,912,0132994909,9780132994903,Fundamentals of Human Resource Management,Business
5,8/1/2015,396,626,0321880110,9780321880116,Elementary & Intermediate Algebra,Mathematics
6,10/13/2015,273,615,0321826124,9780321826121,Algebra and Trigonometry with Modeling & Visualization,Mathematics
7,1/4/2016,536,984,0132730359,9780132730358,E-Commerce 2013,Business
8,7/12/2015,52,698,0136157394,9780136157397,Global Marketing Management,Business
9,5/19/2015,420,598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
10,1/4/2016,631,940,0132948869,9780132948869,Microeconomics,Economics
11,2/16/2016,324,705,0133451607,9780133451603,Statics and Mechanics of Materials,Engineering
12,6/29/2015,546,932,0132994879,9780132994873,Foundations of Finance,Business
13,12/2/2015,281,637,0321851668,9780321851666,Elementary Statistics Using Excel,Statistics
14,3/1/2016,687,552,0205875548,9780205875542,The Prentice Hall Guide for College Writers,English
15,10/30/2015,447,891,0133078353,9780133078350,Marketing Plan Handbook,Business
1,2/15/2016,445,701,013267145X,9780132671453,Adaptive Filter Theory,Engineering
2,6/6/2015,632,785,0132974401,9780132974400,"Human Relations for Career and Personal Success: Concepts, Applications, & Skills",Business
3,4/28/2015,503,899,0132994348,9780132994347,Personal Finance,Business
4,8/5/2015,519,904,0133063003,9780133063004,International Business,Business
5,4/4/2015,292,608,0133116530,9780133116533,Basic Technical Mathematics with Calculus,Mathematics
6,12/18/2015,552,784,0133254429,9780133254426,Mechanics of Materials,Engineering
7,7/26/2015,158,696,0133140512,9780133140514,Entrepreneurial Finance,Business
8,3/28/2015,407,479,0321836960,9780321836960,Elementary Statistics,Statistics
9,7/16/2015,182,925,013297133X,9780132971331,Guide to Managerial Communication,Business
10,7/30/2015,261,783,0133075354,9780133075359,Fundamentals of Investing,Business
11,3/19/2015,146,475,0133250121,9780133250121,Java Software Structures,Computer Science
12,1/16/2016,630,474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
13,11/13/2015,232,558,0205883109,9780205883103,"Strategies for Successful Writing, Concise Edition",English
14,11/14/2015,664,624,0321837347,9780321837349,Precalculus,Mathematics
15,5/24/2015,310,787,0133406954,9780133406955,Visual Basic 2012 How to Program,Computer Science
16,3/17/2015,168,693,0133370437,9780133370430,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
17,5/16/2015,476,918,0132993341,9780132993340,Fundamentals of Futures and Options Markets,Business
18,5/24/2015,250,946,0133125637,9780133125634,Auditing and Assurance Services,Business
19,9/3/2015,641,572,0205890547,9780205890545,Mosaics: Reading and Writing Paragraphs,Student Success
20,6/25/2015,190,784,0133254429,9780133254426,Mechanics of Materials,Engineering
21,9/17/2015,292,567,0321906365,9780321906366,"Writing and Reading Across the Curriculum, Brief Edition",English
22,8/19/2015,420,707,0321566440,9780321566447,Managerial Economics,Economics
23,10/23/2015,570,919,0132970759,9780132970754,MIS Essentials,Business
24,3/5/2016,640,489,032182623X,9780321826237,Statistics for Business and Economics,Statistics
25,1/1/2016,505,474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
26,4/30/2015,210,547,020587665X,9780205876655,"The Curious Writer, Brief Edition",English
27,5/30/2015,649,608,0133116530,9780133116533,Basic Technical Mathematics with Calculus,Mathematics
28,1/16/2016,196,792,0133485102,9780133485103,Managing Engineering and Technology,Engineering
29,10/8/2015,677,594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
30,3/19/2015,53,782,0133127648,9780133127645,Public Relations Practices,Business
31,3/31/2015,383,937,0133423905,9780133423907,Microeconomics,Economics
32,10/11/2015,377,943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
33,6/6/2015,619,940,0132948869,9780132948869,Microeconomics,Economics
1,10/15/2015,33,964,0133083578,9780133083576,The Practice of Public Relations,Business
2,9/7/2015,429,477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
3,9/19/2015,643,603,0321825276,9780321825278,Intro Stats,Statistics
4,8/12/2015,55,550,0321829174,9780321829177,Literature for Composition,English
5,1/16/2016,318,968,0133024164,9780133024166,Principles of Microeconomics,Economics
6,10/19/2015,650,596,0321900472,9780321900470,Precalculus: A Unit Circle Approach,Mathematics
7,3/1/2016,50,489,032182623X,9780321826237,Statistics for Business and Economics,Statistics
8,5/11/2015,92,564,0205578063,9780205578061,Read to Achieve: Gateway to Academic Reading,Student Success
9,12/20/2015,113,695,0132832887,9780132832885,Aerodynamics for Engineers,Engineering
10,2/17/2016,546,952,0133097897,9780133097894,"Corporate Finance, The Core",Business
11,2/19/2016,231,792,0133485102,9780133485103,Managing Engineering and Technology,Engineering
12,3/16/2015,604,677,0132992795,9780132992794,"Macroeconomics, 2/e",Economics
13,12/5/2015,356,911,0132994844,9780132994842,Economics,Economics
14,11/3/2015,153,973,0136039855,9780136039853,The Economic Way of Thinking,Economics
15,1/31/2016,569,571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
16,8/22/2015,640,965,0133023354,9780133023350,QuickBooks Pro 2013: A Complete Course,Business
17,12/6/2015,83,574,0321899970,9780321899972,Technical Communication,English
18,1/24/2016,435,553,0205883052,9780205883059,"The Prentice Hall Guide for College Writers, Brief Edition",English
19,9/4/2015,325,477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
20,1/9/2016,217,921,0132846918,9780132846912,Digital Business Networks,Business
21,2/16/2016,73,487,0321838696,9780321838698,Business Statistics: A First Course,Statistics
22,7/23/2015,644,644,0321880854,9780321880857,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",Mathematics
23,8/23/2015,426,920,0132971321,9780132971324,Business Communication Essentials,Business
24,6/19/2015,514,474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
1,12/7/2015,694,639,0133378500,9780133378504,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
2,6/1/2015,560,475,0133250121,9780133250121,Java Software Structures,Computer Science
3,7/21/2015,90,707,0321566440,9780321566447,Managerial Economics,Economics
4,12/30/2015,490,706,013601772X,9780136017721,Introduction to Engineering Analysis,Engineering
5,6/11/2015,460,486,0321880129,9780321880123,Intermediate Algebra,Mathematics
6,12/2/2015,398,967,013302380X,9780133023800,Principles of Economics,Economics
7,2/14/2016,83,642,0321845862,9780321845863,Developmental Mathematics,Mathematics
8,10/10/2015,582,783,0133075354,9780133075359,Fundamentals of Investing,Business
9,8/21/2015,577,685,013286908X,9780132869089,Ownership Series: Ownership: Critical Thinking,Student Success
10,6/9/2015,435,636,0321795911,9780321795915,Trigonometry,Mathematics
11,1/17/2016,447,591,0321825535,9780321825537,Basic College Mathematics,Mathematics
12,4/27/2015,646,479,0321836960,9780321836960,Elementary Statistics,Statistics
1,4/14/2015,226,930,0132948877,9780132948876,Macroeconomics,Economics
2,11/14/2015,30,983,0132145383,9780132145381,Electronic Commerce 2012,Business
3,3/3/2016,493,952,0133097897,9780133097894,"Corporate Finance, The Core",Business
1,10/3/2015,141,571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
2,6/30/2015,68,474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
3,2/23/2016,547,932,0132994879,9780132994873,Foundations of Finance,Business
4,4/29/2015,550,475,0133250121,9780133250121,Java Software Structures,Computer Science
5,7/5/2015,444,571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
6,12/17/2015,656,790,013284737X,9780132847377,Data Structures and Algorithm Analysis in C++,Computer Science
7,2/16/2016,210,607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
8,12/9/2015,690,616,0321865537,9780321865533,Introductory and Intermediate Algebra 5e,Mathematics
9,10/5/2015,450,979,0321464486,9780321464484,Development Economics,Economics
10,11/16/2015,149,974,0132991284,9780132991285,The Economics of Macro Issues,Economics
11,1/15/2016,114,940,0132948869,9780132948869,Microeconomics,Economics
12,11/14/2015,347,549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
13,5/9/2015,537,693,0133370437,9780133370430,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
14,9/13/2015,517,608,0133116530,9780133116533,Basic Technical Mathematics with Calculus,Mathematics
15,3/27/2015,176,911,0132994844,9780132994842,Economics,Economics
16,12/8/2015,530,946,0133125637,9780133125634,Auditing and Assurance Services,Business
17,1/20/2016,382,909,0133077543,9780133077544,Management: A Focus on Leaders,Business
18,10/27/2015,127,595,0321848284,9780321848284,Intermediate Algebra: Concepts & Applications,Mathematics
19,5/12/2015,437,932,0132994879,9780132994873,Foundations of Finance,Business
20,6/24/2015,58,975,0133022935,9780133022933,The Economics of Public Issues,Economics
21,2/15/2016,611,624,0321837347,9780321837349,Precalculus,Mathematics
22,2/17/2016,659,680,0133252817,9780133252811,Introduction to Programming with C++,Computer Science
23,9/14/2015,202,548,0205876641,9780205876648,"The Curious Writer, Concise Edition",English
24,1/30/2016,224,636,0321795911,9780321795915,Trigonometry,Mathematics
25,5/4/2015,310,790,013284737X,9780132847377,Data Structures and Algorithm Analysis in C++,Computer Science
26,10/9/2015,47,892,013295351X,9780132953511,Opportunities and Challenges of Workplace Diversity,Business
1,12/4/2015,598,916,0133050696,9780133050691,Management Information Systems,Business
2,5/31/2015,381,923,0133058360,9780133058369,Guide to Presentations,Business
3,6/30/2015,309,697,013261930X,9780132619301,"English for Careers: Business, Professional, and Technical",Business
4,9/8/2015,560,925,013297133X,9780132971331,Guide to Managerial Communication,Business
5,9/1/2015,274,599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
6,9/26/2015,456,943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
7,2/26/2016,335,568,0321846621,9780321846624,Reading Rhetorically,English
8,6/24/2015,286,692,0133354695,9780133354690,Cryptography and Network Security: Principles and Practice,Computer Science
9,11/24/2015,433,676,0132461862,9780132461863,International Monetary & Financial  Economics,Economics
10,3/6/2016,644,607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
11,2/25/2016,34,685,013286908X,9780132869089,Ownership Series: Ownership: Critical Thinking,Student Success
12,11/28/2015,150,983,0132145383,9780132145381,Electronic Commerce 2012,Business
13,12/7/2015,272,574,0321899970,9780321899972,Technical Communication,English
14,1/17/2016,437,488,0321836510,9780321836519,Statistics for Business: Decision Making and Analysis,Statistics
15,1/28/2016,692,555,0205886159,9780205886159,"Global Issues, Local Arguments",English
1,3/2/2016,263,591,0321825535,9780321825537,Basic College Mathematics,Mathematics
2,2/6/2016,65,607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
3,8/12/2015,380,926,0133075281,9780133075281,Environmental Law,Business
4,11/30/2015,552,547,020587665X,9780205876655,"The Curious Writer, Brief Edition",English
5,10/27/2015,92,707,0321566440,9780321566447,Managerial Economics,Economics
6,5/15/2015,39,486,0321880129,9780321880123,Intermediate Algebra,Mathematics
7,2/3/2016,657,628,0133140423,9780133140422,Business Math Brief,Business
8,2/6/2016,84,897,0133058786,9780133058789,Introduction to Management Accounting,Business
9,3/21/2015,163,940,0132948869,9780132948869,Microeconomics,Economics
10,5/9/2015,76,473,0133068307,9780133068306,Introduction to JavaScript Programming with XML and PHP,Computer Science
11,2/14/2016,76,980,013610827X,9780136108276,Hands-On Database,Computer Science
12,3/9/2015,90,596,0321900472,9780321900470,Precalculus: A Unit Circle Approach,Mathematics
13,9/21/2015,545,629,032181696X,9780321816962,Precalculus: Essentials,Mathematics
14,2/28/2016,72,909,0133077543,9780133077544,Management: A Focus on Leaders,Business
15,7/1/2015,609,783,0133075354,9780133075359,Fundamentals of Investing,Business
16,7/15/2015,156,898,0133059049,9780133059045,Better Business,Business
17,8/10/2015,417,482,032182573X,9780321825735,Excursions in Modern Mathematics,Mathematics
18,10/23/2015,503,905,0133117413,9780133117417,Horngren's Accounting,Business
19,6/10/2015,118,915,0132967480,9780132967488,Experiencing MIS,Business
20,3/19/2015,405,476,0133360903,9780133360905,Building Java Programs,Computer Science
21,3/29/2015,563,631,0205902308,9780205902309,World of Short Stories: 20 Short Stories from Around the World,Student Success
22,7/31/2015,369,569,0321844254,9780321844255,Building College Vocabulary Strategies,Student Success
23,5/2/2015,449,596,0321900472,9780321900470,Precalculus: A Unit Circle Approach,Mathematics
24,9/22/2015,283,939,0133020258,9780133020250,Macroeconomics,Economics
25,6/19/2015,374,975,0133022935,9780133022933,The Economics of Public Issues,Economics
26,4/15/2015,217,905,0133117413,9780133117417,Horngren's Accounting,Business
27,9/16/2015,609,904,0133063003,9780133063004,International Business,Business
28,4/17/2015,159,680,0133252817,9780133252811,Introduction to Programming with C++,Computer Science
29,10/7/2015,111,928,0133043541,9780133043549,Human Resource Management,Business
1,1/6/2016,337,561,0205863795,9780205863792,The DK Handbook,Student Success
2,7/1/2015,88,953,0132991322,9780132991322,Accounting Information Systems: The Crossroads of Accounting and IT 2e,Business
3,8/7/2015,340,648,0205778844,9780205778843,The DK Guide to Literature,English
4,2/26/2016,403,690,0133255573,9780133255577,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
5,5/23/2015,43,618,0205852068,9780205852062,Bridging the Gap,Student Success
6,10/15/2015,233,616,0321865537,9780321865533,Introductory and Intermediate Algebra 5e,Mathematics
7,2/2/2016,45,964,0133083578,9780133083576,The Practice of Public Relations,Business
8,7/6/2015,411,960,0133056252,9780133056259,Customer Service: Career Success through Customer Loyalty,Business
9,7/21/2015,591,942,0133075222,9780133075229,Employment Law,Business
10,5/28/2015,304,473,0133068307,9780133068306,Introduction to JavaScript Programming with XML and PHP,Computer Science
11,7/27/2015,167,947,0132921146,9780132921145,Operations Management,Business
12,4/10/2015,43,569,0321844254,9780321844255,Building College Vocabulary Strategies,Student Success
13,8/21/2015,521,594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
14,10/1/2015,619,955,0133251241,9780133251241,Horngren's Financial & Managerial Accounting,Business
15,2/13/2016,322,974,0132991284,9780132991285,The Economics of Macro Issues,Economics
16,7/14/2015,687,477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
17,12/17/2015,627,919,0132970759,9780132970754,MIS Essentials,Business
18,9/8/2015,342,591,0321825535,9780321825537,Basic College Mathematics,Mathematics
19,4/4/2015,655,603,0321825276,9780321825278,Intro Stats,Statistics
20,5/7/2015,66,566,0321865820,9780321865823,Academic Reading,Student Success
21,3/25/2015,111,974,0132991284,9780132991285,The Economics of Macro Issues,Economics
22,7/5/2015,526,556,0205890962,9780205890965,Mosaics: Reading and Writing Essays 6e,Student Success
23,2/17/2016,285,964,0133083578,9780133083576,The Practice of Public Relations,Business
24,9/21/2015,296,704,0133354857,9780133354850,Fundamentals of Communication Systems,Engineering
25,1/24/2016,143,787,0133406954,9780133406955,Visual Basic 2012 How to Program,Computer Science
26,6/6/2015,627,684,0132868792,9780132868792,Ownership Series: Ownership: Effective Planning,Student Success
1,7/8/2015,160,549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
2,7/26/2015,205,911,0132994844,9780132994842,Economics,Economics
3,9/15/2015,96,648,0205778844,9780205778843,The DK Guide to Literature,English
4,6/6/2015,582,549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
5,1/18/2016,446,472,0133128911,9780133128918,Basics of Web Design: HTML5 & CSS3,Computer Science
6,2/15/2016,433,598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
7,5/5/2015,510,923,0133058360,9780133058369,Guide to Presentations,Business
8,1/13/2016,698,896,0132994895,9780132994897,Psychology of Investing,Business
9,12/21/2015,82,631,0205902308,9780205902309,World of Short Stories: 20 Short Stories from Around the World,Student Success
10,12/6/2015,580,688,013340675X,9780133406757,"Essentials of Processes, Systems and Information: with SAP tutorials",Business
1,1/20/2016,264,652,0132481197,9780132481199,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success
2,5/16/2015,423,590,0132898357,9780132898355,Mathematics for Business,Business
3,2/2/2016,595,621,0321826043,9780321826046,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,Mathematics
4,10/2/2015,120,644,0321880854,9780321880857,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",Mathematics
5,12/17/2015,451,633,0321848837,9780321848833,Brief Calculus & Its Applications,Mathematics
6,9/17/2015,270,600,0321817621,9780321817624,Statistical Reasoning for Everyday Life,Statistics
7,7/14/2015,589,926,0133075281,9780133075281,Environmental Law,Business
8,10/5/2015,74,914,0133029670,9780133029673,Using MIS,Business
9,1/10/2016,355,951,0132992477,9780132992473,Corporate Finance,Business
10,1/15/2016,504,964,0133083578,9780133083576,The Practice of Public Relations,Business
11,1/13/2016,651,676,0132461862,9780132461863,International Monetary & Financial  Economics,Economics
12,1/21/2016,669,786,0137024878,9780137024872,Managerial Accounting: Decision Making and Motivating Performance,Business
13,5/7/2015,392,630,0205730523,9780205730520,World Myth,English
14,12/21/2015,437,955,0133251241,9780133251241,Horngren's Financial & Managerial Accounting,Business
15,6/18/2015,218,703,0133023672,9780133023671,Principles of Macroeconomics,Economics
16,12/3/2015,597,621,0321826043,9780321826046,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,Mathematics
17,3/8/2015,111,787,0133406954,9780133406955,Visual Basic 2012 How to Program,Computer Science
18,8/9/2015,62,552,0205875548,9780205875542,The Prentice Hall Guide for College Writers,English
19,12/23/2015,377,707,0321566440,9780321566447,Managerial Economics,Economics
20,10/26/2015,350,603,0321825276,9780321825278,Intro Stats,Statistics
1,2/10/2016,553,677,0132992795,9780132992794,"Macroeconomics, 2/e",Economics
2,4/10/2015,490,485,0321880153,9780321880154,Elementary Algebra,Mathematics
3,7/15/2015,459,983,0132145383,9780132145381,Electronic Commerce 2012,Business
4,7/10/2015,594,483,0321825721,9780321825728,Mathematics for Elementary Teachers with Activity Manual,Mathematics
5,1/15/2016,165,631,0205902308,9780205902309,World of Short Stories: 20 Short Stories from Around the World,Student Success
6,1/26/2016,434,951,0132992477,9780132992473,Corporate Finance,Business
7,1/30/2016,654,593,0321845021,9780321845023,Prealgebra  5e,Mathematics
8,11/16/2015,343,918,0132993341,9780132993340,Fundamentals of Futures and Options Markets,Business
9,12/14/2015,293,572,0205890547,9780205890545,Mosaics: Reading and Writing Paragraphs,Student Success
10,10/2/2015,238,626,0321880110,9780321880116,Elementary & Intermediate Algebra,Mathematics
11,2/27/2016,486,610,0321860470,9780321860477,Cornerstones for College Success,Student Success
12,11/3/2015,137,633,0321848837,9780321848833,Brief Calculus & Its Applications,Mathematics
13,7/14/2015,195,677,0132992795,9780132992794,"Macroeconomics, 2/e",Economics
14,7/26/2015,29,492,013608530X,9780136085300,Internetworking with TCP/IP Volume One,Computer Science
15,9/14/2015,236,894,0132948915,9780132948913,International Economics,Economics
16,8/19/2015,138,973,0136039855,9780136039853,The Economic Way of Thinking,Economics
17,2/8/2016,297,943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
18,4/6/2015,647,642,0321845862,9780321845863,Developmental Mathematics,Mathematics
19,8/14/2015,368,689,0133255433,9780133255430,"Horngren's Financial & Managerial Accounting, The Managerial Chapters",Business
20,6/13/2015,496,701,013267145X,9780132671453,Adaptive Filter Theory,Engineering
21,7/24/2015,409,705,0133451607,9780133451603,Statics and Mechanics of Materials,Engineering
22,1/11/2016,647,604,0321838203,9780321838209,Calculus and Its Applications Expanded Version,Mathematics
23,8/20/2015,531,592,0321845056,9780321845054,Essential Math 4e,Mathematics
24,9/19/2015,207,627,0321872185,9780321872180,Intermediate Algebra 10,Mathematics
25,6/13/2015,495,909,0133077543,9780133077544,Management: A Focus on Leaders,Business
26,12/28/2015,567,485,0321880153,9780321880154,Elementary Algebra,Mathematics
1,6/21/2015,604,571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
2,3/14/2015,131,613,0133011208,9780133011203,Business Math,Business
3,6/4/2015,32,636,0321795911,9780321795915,Trigonometry,Mathematics
4,5/27/2015,139,928,0133043541,9780133043549,Human Resource Management,Business
5,12/3/2015,240,572,0205890547,9780205890545,Mosaics: Reading and Writing Paragraphs,Student Success
6,10/9/2015,513,590,0132898357,9780132898355,Mathematics for Business,Business
7,11/13/2015,342,789,013335671X,9780133356717,Machine Design,Engineering
8,7/25/2015,313,474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
9,3/31/2015,169,936,0133023443,9780133023442,Systems Analysis and Design,Business
10,7/3/2015,100,486,0321880129,9780321880123,Intermediate Algebra,Mathematics
11,12/31/2015,690,637,0321851668,9780321851666,Elementary Statistics Using Excel,Statistics
12,9/15/2015,356,627,0321872185,9780321872180,Intermediate Algebra 10,Mathematics
13,7/15/2015,383,935,0132948885,9780132948883,Economics Today: The Micro View,Economics
14,12/2/2015,682,473,0133068307,9780133068306,Introduction to JavaScript Programming with XML and PHP,Computer Science
15,6/14/2015,546,587,032183724X,9780321837240,Algebra and Trigonometry,Mathematics
16,8/8/2015,453,568,0321846621,9780321846624,Reading Rhetorically,English
17,7/6/2015,461,782,0133127648,9780133127645,Public Relations Practices,Business
1,12/3/2015,104,626,0321880110,9780321880116,Elementary & Intermediate Algebra,Mathematics
2,7/22/2015,314,956,0133251969,9780133251968,Comprehensive Assurance & Systems Tool (CAST): An Integrated Practice Set,Business
3,1/5/2016,516,928,0133043541,9780133043549,Human Resource Management,Business
4,3/13/2015,65,957,0132992914,9780132992916,Principles of Risk Management and Insurance,Business
5,9/21/2015,554,686,0132869063,9780132869065,Ownership Series: Ownership: Study Strategies,Student Success
6,8/7/2015,675,923,0133058360,9780133058369,Guide to Presentations,Business
7,7/15/2015,410,572,0205890547,9780205890545,Mosaics: Reading and Writing Paragraphs,Student Success
8,10/20/2015,362,683,0132869500,9780132869508,Ownership Series: Ownership: Accountability,Student Success
9,7/28/2015,52,922,0133043606,9780133043600,Management,Business
10,7/18/2015,475,613,0133011208,9780133011203,Business Math,Business
11,6/20/2015,467,614,020588539X,9780205885398,Writing for Life: Sentences and Paragraphs,Student Success
12,11/16/2015,353,980,013610827X,9780136108276,Hands-On Database,Computer Science
13,6/8/2015,455,627,0321872185,9780321872180,Intermediate Algebra 10,Mathematics
14,1/20/2016,433,594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
15,8/5/2015,168,905,0133117413,9780133117417,Horngren's Accounting,Business
16,12/9/2015,170,698,0136157394,9780136157397,Global Marketing Management,Business
17,8/28/2015,89,682,0132666790,9780132666794,Essentials of Entrepreneurship and Small Business Management,Business
